Date,Negative,Neutral,sentimental_score
2012-08-31,0.8956404041785461,0.09110856370047862,-0.8368351058756469
2012-09-30,0.9663780277425592,0.030790416361603755,-0.9481512693736301
2012-10-31,0.9303392767906189,0.06750507610617153,-0.8944310552388183
2012-11-30,0.9967601299285889,0.0023103126397927554,-0.9946754183607055
2012-12-31,0.9294647736982866,0.05172704081124638,-0.8847930575291023
2013-01-31,0.9345695957541466,0.062359562795625344,-0.9003189728385351
2013-02-28,0.9953216777907478,0.0005179690699984955,-0.9909023437917439
2013-03-31,0.8945286912577493,0.10139817963133169,-0.8397564689773377
2013-04-30,0.9972301891871861,0.00043017269895122875,-0.9946754712401537
2013-05-31,0.9345276852448782,0.06438648734583315,-0.9012486231335615
2013-06-30,0.9239542722702027,0.07466778860980412,-0.8852424324937601
