"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2023","69.57","72.92","73.39","69.05","","-4.55%"
"05/29/2023","72.89","73.25","73.56","72.08","","-0.46%"
"05/28/2023","73.23","73.19","73.47","73.09","","0.43%"
"05/26/2023","72.92","71.86","73.08","71.53","","1.45%"
"05/25/2023","71.88","74.28","74.40","71.06","","-3.19%"
"05/24/2023","74.25","73.89","74.76","73.17","","0.50%"
"05/23/2023","73.88","72.33","74.02","71.75","","2.10%"
"05/22/2023","72.36","71.91","72.56","70.72","","0.70%"
"05/21/2023","71.86","71.92","71.98","71.72","","-0.10%"
"05/19/2023","71.93","72.14","73.56","71.22","","-0.29%"
"05/18/2023","72.14","72.78","73.00","71.59","","-0.87%"
"05/17/2023","72.77","70.62","73.33","70.11","","2.97%"
"05/16/2023","70.67","71.42","71.80","70.49","","-1.05%"
"05/15/2023","71.42","70.06","71.69","69.42","","1.94%"
"05/14/2023","70.06","70.08","70.20","69.97","","-0.07%"
"05/12/2023","70.11","71.33","71.77","69.96","","-1.75%"
"05/11/2023","71.36","72.88","73.52","70.66","","-2.10%"
"05/10/2023","72.89","73.62","73.89","71.83","","-0.98%"
"05/09/2023","73.61","73.00","73.79","71.39","","0.84%"
"05/08/2023","73.00","71.39","73.71","71.06","","2.18%"
"05/07/2023","71.44","71.38","71.92","71.38","","0.06%"
"05/05/2023","71.40","68.75","71.82","68.52","","3.82%"
"05/04/2023","68.77","67.56","69.83","67.54","","2.26%"
"05/03/2023","67.25","71.62","71.81","64.00","","-6.13%"
"05/02/2023","71.64","75.61","76.14","71.46","","-5.26%"
"05/01/2023","75.62","76.17","76.31","74.58","","-0.66%"
"04/30/2023","76.12","76.67","76.72","76.09","","-0.76%"
"04/28/2023","76.70","74.84","76.95","73.98","","2.50%"
"04/27/2023","74.83","74.44","75.31","74.08","","0.51%"
"04/26/2023","74.45","77.38","77.97","74.09","","-3.72%"
"04/25/2023","77.33","78.70","79.11","76.57","","-1.70%"
"04/24/2023","78.67","77.77","79.21","76.77","","1.14%"
"04/23/2023","77.78","77.95","77.95","77.67","","-0.26%"
"04/21/2023","77.98","77.17","78.42","76.78","","1.05%"
"04/20/2023","77.17","78.98","79.06","77.03","","-2.24%"
"04/19/2023","78.94","81.00","81.30","78.61","","-2.58%"
"04/18/2023","81.03","80.91","81.58","79.98","","0.17%"
"04/17/2023","80.89","82.53","82.67","80.53","","-2.01%"
"04/16/2023","82.55","82.55","82.67","82.39","","-0.12%"
"04/14/2023","82.65","82.20","83.05","81.73","","0.52%"
"04/13/2023","82.22","83.03","83.37","82.06","","-0.99%"
"04/12/2023","83.04","81.42","83.47","81.23","","2.00%"
"04/11/2023","81.41","79.78","81.53","79.33","","2.02%"
"04/10/2023","79.80","80.77","81.05","79.55","","-1.18%"
"04/09/2023","80.75","80.58","81.14","80.58","","0.49%"
"04/06/2023","80.36","80.44","80.86","79.56","","-0.10%"
"04/05/2023","80.44","80.84","81.14","79.64","","-0.52%"
"04/04/2023","80.86","80.34","81.67","79.52","","0.62%"
"04/03/2023","80.36","80.42","80.83","78.89","","-0.04%"
"04/02/2023","80.39","80.67","81.56","79.92","","6.38%"
"03/31/2023","75.57","74.25","75.58","73.67","","1.78%"
"03/30/2023","74.25","72.78","74.47","72.50","","2.03%"
"03/29/2023","72.77","73.62","74.22","72.65","","-1.14%"
"03/28/2023","73.61","72.89","73.79","72.08","","1.00%"
"03/27/2023","72.88","69.53","72.95","69.00","","4.79%"
"03/26/2023","69.55","69.42","69.78","69.42","","0.65%"
"03/24/2023","69.10","69.38","70.22","66.69","","-0.42%"
"03/23/2023","69.39","69.89","71.50","69.03","","-0.76%"
"03/22/2023","69.92","69.31","71.14","68.73","","0.88%"
"03/21/2023","69.31","67.48","69.58","66.75","","2.73%"
"03/20/2023","67.47","66.11","67.72","65.69","","1.67%"
"03/17/2023","66.36","68.28","69.25","66.36","","-2.85%"
"03/16/2023","68.31","68.16","69.31","65.75","","0.22%"
"03/15/2023","68.16","71.75","72.50","65.66","","-5.03%"
"03/14/2023","71.77","74.52","74.84","70.75","","-3.70%"
"03/13/2023","74.53","77.03","77.17","72.28","","-3.25%"
"03/12/2023","77.03","76.30","77.41","76.14","","0.60%"
"03/10/2023","76.57","75.36","77.03","74.70","","1.58%"
"03/09/2023","75.38","76.47","77.96","75.28","","-1.44%"
"03/08/2023","76.48","77.17","77.64","76.03","","-0.88%"
"03/07/2023","77.16","80.39","80.83","76.97","","-4.05%"
"03/06/2023","80.42","79.30","80.52","78.23","","1.44%"
"03/05/2023","79.28","79.59","79.64","79.23","","-0.59%"
"03/03/2023","79.75","77.83","79.77","75.73","","2.49%"
"03/02/2023","77.81","77.50","78.46","77.11","","0.37%"
"03/01/2023","77.52","76.53","77.69","76.00","","1.29%"
"02/28/2023","76.53","75.61","77.67","75.42","","1.23%"
"02/27/2023","75.60","76.48","76.66","74.86","","-1.18%"
"02/26/2023","76.50","76.30","76.61","76.30","","0.25%"
"02/24/2023","76.31","75.47","76.45","73.95","","1.11%"
"02/23/2023","75.47","73.78","75.81","73.72","","2.26%"
"02/22/2023","73.80","76.03","76.38","73.64","","-2.96%"
"02/21/2023","76.05","77.11","77.44","75.73","","-1.37%"
"02/20/2023","77.11","76.50","77.55","76.14","","0.82%"
"02/19/2023","76.48","76.52","76.64","76.34","","0.22%"
"02/17/2023","76.31","77.83","78.28","75.12","","-1.97%"
"02/16/2023","77.84","78.56","79.53","77.78","","-0.90%"
"02/15/2023","78.55","78.78","79.14","77.27","","-0.30%"
"02/14/2023","78.79","79.17","79.58","77.44","","-0.51%"
"02/13/2023","79.19","79.30","80.56","78.41","","-0.15%"
"02/12/2023","79.31","79.81","79.94","79.19","","-0.46%"
"02/10/2023","79.68","77.61","80.25","77.42","","2.67%"
