"Date","Price","Open","High","Low","Vol.","Change %"
"03/24/2023","80.48","78.51","80.80","78.16","258.82K","0.37%"
"03/23/2023","80.18","81.50","82.69","79.44","1.74M","-2.40%"
"03/22/2023","82.15","84.08","84.50","82.15","150.04K","-2.04%"
"03/21/2023","83.86","82.95","84.22","82.63","73.17K","3.15%"
"03/20/2023","81.30","79.45","81.99","79.45","161.97K","2.25%"
"03/17/2023","79.51","80.31","81.16","78.67","158.51K","-1.97%"
"03/16/2023","81.11","77.88","81.20","77.25","316.38K","2.35%"
"03/15/2023","79.25","81.33","81.44","77.78","326.49K","-6.00%"
"03/14/2023","84.31","83.70","86.53","82.82","137.16K","0.83%"
"03/13/2023","83.62","83.71","85.64","82.24","146.76K","-2.94%"
"03/10/2023","86.15","87.39","88.75","85.92","74.52K","-1.68%"
"03/09/2023","87.62","89.29","90.80","87.44","82.74K","-1.47%"
"03/08/2023","88.93","89.40","90.78","87.99","95.61K","-1.21%"
"03/07/2023","90.02","91.11","91.15","89.63","128.71K","-1.64%"
"03/06/2023","91.52","92.00","92.00","90.64","66.79K","-1.16%"
"03/03/2023","92.59","90.08","92.98","90.08","84.54K","1.56%"
"03/02/2023","91.17","89.68","91.63","89.34","85.53K","1.32%"
"03/01/2023","89.98","87.53","90.23","87.17","95.25K","3.05%"
"02/28/2023","87.32","89.84","89.84","87.32","115.81K","-1.95%"
"02/27/2023","89.06","88.92","89.37","88.00","119.21K","0.51%"
"02/24/2023","88.61","87.27","88.80","86.55","192.49K","0.06%"
"02/23/2023","88.56","88.06","89.03","87.20","112.44K","2.13%"
"02/22/2023","86.71","86.80","87.64","85.70","204.66K","-0.07%"
"02/21/2023","86.77","86.53","87.24","86.37","148.28K","-0.23%"
"02/17/2023","86.97","89.25","89.35","86.44","142.66K","-4.13%"
"02/16/2023","90.72","91.78","92.67","90.69","82.73K","-1.67%"
"02/15/2023","92.26","93.00","93.00","90.98","107.29K","-2.34%"
"02/14/2023","94.47","93.07","94.80","92.96","48.45K","0.61%"
"02/13/2023","93.90","94.14","94.45","93.03","59.10K","-0.69%"
"02/10/2023","94.55","91.63","94.67","91.63","95.35K","4.86%"
"02/09/2023","90.17","90.99","91.30","90.13","102.39K","-1.06%"
"02/08/2023","91.14","92.11","92.36","90.32","58.34K","-0.78%"
"02/07/2023","91.86","88.79","92.00","88.51","175.27K","3.82%"
"02/06/2023","88.48","89.72","90.53","87.82","120.55K","-1.29%"
"02/03/2023","89.64","90.64","92.10","89.52","124.13K","-0.98%"
"02/02/2023","90.53","92.13","92.13","89.51","211.56K","-2.38%"
"02/01/2023","92.74","95.07","95.07","91.14","120.04K","-2.83%"
"01/31/2023","95.44","94.83","95.83","94.10","103.02K","0.54%"
"01/30/2023","94.93","96.53","96.64","94.87","81.23K","-2.68%"
